Duquesne,2.45,.219,.331,.476,47.9,40.5,9.1,10.7,.449,14.8,29.7,.154
East Carolina,2.54,.345,.390,.518,49.8,63.2,9.7,8.6,.473,16.5,27.5,.259
East Tennessee State,0.48,.227,.420,.542,50.1,50.2,10.0,8.9,.518,14.5,30.4,.165
Eastern Illinois,-3.16,.314,.366,.484,44.4,58.3,9.5,9.4,.456,21.5,20.7,.199
Eastern Kentucky,-4.95,.213,.484,.523,47.3,54.4,14.0,10.0,.501,13.3,28.9,.150
Eastern Michigan,-1.75,.307,.340,.518,47.1,40.0,8.4,8.3,.486,17.2,21.6,.216
Eastern Washington,-4.21,.334,.427,.563,52.1,59.8,7.8,7.6,.524,16.4,26.5,.255
Elon,1.73,.258,.442,.533,48.6,52.6,7.4,7.3,.502,17.4,25.3,.192
Evansville,1.65,.239,.468,.499,44.1,50.3,9.1,5.8,.470,16.2,14.4,.170
Fairfield,-4.33,.255,.398,.532,50.6,48.5,8.1,7.5,.507,14.4,28.0,.179
Fairleigh Dickinson,-5.15,.276,.349,.494,45.8,49.1,9.1,7.9,.462,17.1,27.5,.192
Florida A&M,-5.67,.295,.255,.496,47.4,48.7,9.1,8.3,.464,16.6,26.8,.204
Florida Atlantic,-1.09,.282,.430,.551,53.0,50.9,10.5,7.4,.526,15.8,30.3,.198
Florida Gulf Coast,-4.57,.289,.476,.553,52.8,58.9,9.5,12.7,.531,16.4,30.5,.196
Florida International,-3.28,.248,.468,.540,49.6,55.3,9.1,11.7,.516,17.5,27.3,.174
Florida State,7.24,.316,.340,.525,49.9,55.5,12.9,13.8,.492,16.1,30.7,.224
Florida,7.86,.360,.470,.534,49.1,53.5,12.5,14.4,.494,16.2,31.3,.264
Fordham,-0.72,.287,.431,.499,49.6,51.7,10.9,10.2,.464,16.3,26.6,.206
Fresno State,2.69,.300,.382,.539,53.7,49.8,9.3,8.9,.504,15.1,28.0,.225
Furman,-1.03,.224,.514,.580,50.1,63.2,11.9,9.7,.558,13.9,27.9,.168
Gardner-Webb,-3.97,.290,.400,.541,52.0,53.6,10.8,15.3,.513,17.2,25.1,.205
George Mason,2.24,.285,.464,.562,51.8,56.9,7.5,9.9,.540,16.3,24.0,.196
George Washington,1.04,.245,.365,.510,45.8,48.8,10.2,11.0,.485,15.9,23.2,.169
Georgetown,7.39,.280,.362,.502,50.5,49.4,9.9,10.8,.465,16.2,31.6,.207
