Name                          Rating      Wins      Losses    Stat        Games       SOS         
St. Joseph's                  0.302376    6         5         0.216060    0.433525    0.318843    
Northern Iowa                 0.267753    4         5         -0.143896   0.157310    0.720261    
Texas State                   0.260110    9         2         0.296281    0.105654    -0.374050   
Northeastern                  0.185570    6         5         0.073403    -0.016525   0.162878    
San Diego                     0.168436    7         5         0.720277    -0.219801   0.229355    
East Carolina                 0.158479    8         3         0.057374    0.396594    -1.061830   
Jacksonville State            0.138421    5         6         0.317395    -0.049222   -0.328028   
ETSU                          0.126306    7         5         -0.150779   -0.176526   1.029634    
Appalachian State             0.122143    6         6         0.303654    -0.438391   0.704920    
Abilene Christian             0.119157    7         2         0.487537    -0.531222   -0.379164   
UNC Greensboro                0.098271    8         4         -0.175805   0.101127    -0.351039   
Montana                       0.052875    8         4         0.890198    -0.244274   -1.302169   
Nebraska                      0.042167    5         6         -0.615200   0.354508    0.334184    
Yale                          0.037495    6         7         -0.678121   -0.091477   0.293275    
Miami (OH)                    0.029192    5         5         0.662075    -0.454977   0.313730    
VMI                           -0.026576   7         5         0.775525    -0.489331   -1.281715   
Winthrop                      -0.042699   6         5         -0.003586   -0.483308   0.081061    
Northern Colorado             -0.044035   6         7         0.079662    -0.352073   1.160031    
Bradley                       -0.046951   5         6         0.578090    -0.554783   -0.721775   
Western Illinois              -0.052535   9         2         0.842653    0.087906    -0.726889   
Boston University             -0.067645   9         4         0.341006    -0.069380   -1.202454   
Stephen F. Austin             -0.070004   8         4         0.323324    -0.591212   0.257480    
Loyola Marymount              -0.080694   6         5         -0.636888   0.184728    0.237026    
Mercer                        -0.092206   7         4         0.144840    -0.362426   -0.064677   
Fairfield                     -0.092267   8         3         0.807186    0.238311    -1.938813   
Georgia Southern              -0.101473   7         4         0.416463    -0.254523   -0.660412   
Indiana State                 -0.113178   5         6         -0.685620   0.071574    1.185599    
Jacksonville                  -0.113398   7         3         0.823064    -0.180556   -1.031148   
Harvard                       -0.117041   6         4         -0.073461   -0.499771   -0.274335   
Delaware                      -0.137189   9         3         0.275132    0.020703    -1.391657   
Florida International         -0.148499   8         3         0.466443    0.150032    -1.473475   
Cleveland State               -0.151131   6         3         0.273021    -0.050230   -0.126040   
Florida Atlantic              -0.209400   7         5         0.539538    -0.641720   -0.990239   
The Citadel                   -0.242533   6         3         0.743770    -0.589606   -0.944217   
Nicholls State                -0.259913   8         4         0.303547    -0.546533   0.776511    
New Hampshire                 -0.278696   5         4         0.768304    -0.286606   -1.660121   
South Dakota                  -0.281875   7         4         0.753481    -0.720900   -1.171772   
Washington                    -0.285819   5         4         -0.732039   0.469723    -0.023768   
Southern Illinois             -0.302375   7         4         0.331594    -0.116627   -1.348192   
Bowling Green State           -0.309173   5         4         -0.025604   -0.097685   -0.719218   
Middle Tennessee              -0.329359   8         3         0.763231    -0.219401   -0.877740   
Old Dominion                  -0.331423   5         6         -0.183371   -0.136618   -0.368937   
Drexel                        -0.337735   5         5         -0.075950   -0.216643   -0.514674   
Campbell                      -0.379216   7         3         0.392917    -0.518383   0.372536    
UTEP                          -0.398138   6         4         -0.344920   -0.159378   0.623103    
Tulsa                         -0.424274   6         5         -0.900612   0.258320    -0.351039   
UNC Asheville                 -0.439907   7         5         0.282413    -0.212550   0.068277    
Montana State                 -0.460435   7         4         0.048539    0.076327    -1.031148   
Army                          -0.513124   6         4         0.367480    -0.562272   -1.084841   
Louisiana                     -0.518269   5         5         0.149227    -0.597955   0.390434    
South Florida                 -0.523865   4         5         -0.090491   -0.194193   -1.205011   
New Mexico                    -0.539752   6         5         -0.128666   -0.047723   0.456911    
Eastern Kentucky              -0.544287   7         6         0.228196    -0.373768   -0.473765   
Oregon State                  -0.558581   1         10        -1.029077   -0.503636   1.464290    
Arkansas State                -0.562691   7         3         0.291108    -0.274116   -1.644781   
UC-San Diego                  -0.568890   6         4         0.898281    -0.544362   -1.363532   
UMass-Lowell                  -0.572194   7         4         0.078802    -0.300676   -0.399618   
Valparaiso                    -0.603803   5         6         0.200665    -0.639827   -0.394505   
Norfolk State                 -0.639817   9         3         0.494075    -0.241719   -2.007847   
College of Charleston         -0.655129   7         4         -0.521384   0.380603    -0.381721   
Pacific                       -0.658380   5         7         0.208128    -0.999975   -0.793366   
Bryant                        -0.689079   4         7         -0.506925   -0.208000   0.150094    
Charlotte                     -0.705958   5         5         -0.608341   0.082461    0.047822    
Fordham                       -0.721517   7         5         0.510013    -0.039614   -1.470918   
Longwood                      -0.758060   7         4         1.129892    -0.671417   -1.992506   
Duquesne                      -0.760675   4         7         -0.458635   -0.524634   -0.353596   
Bellarmine                    -0.765257   6         7         -0.419090   -0.590335   2.448659    
Penn                          -0.773319   3         10        -1.047294   -0.137854   0.853215    
Northern Kentucky             -0.804680   4         6         0.360604    -0.829650   -0.279448   
Georgia State                 -0.817306   6         4         -0.289398   -0.625824   -0.189960   
UMBC                          -0.831685   5         6         -0.080871   -0.454911   -1.156432   
Seattle                       -0.846390   8         4         0.125629    -0.039279   -1.849325   
Stony Brook                   -0.861933   7         4         -0.578023   0.005633    -0.414959   
Youngstown State              -0.865763   7         3         0.129719    -0.118373   -1.828870   
Gardner-Webb                  -0.901177   5         7         0.087483    -0.683746   -0.023768   
Niagara                       -0.909329   5         6         -0.301163   -0.174286   0.832760    
Texas Southern                -0.909523   2         7         -1.257141   0.239362    1.385030    
Illinois State                -0.944585   7         5         0.148184    -0.649358   -0.371493   
North Alabama                 -0.987198   7         4         0.304709    -0.769648   -0.742230   
Western Carolina              -1.011913   6         5         -0.008109   -0.555296   -1.077171   
Cal State Fullerton           -1.057678   6         5         -0.138454   -0.348193   0.078504    
Portland                      -1.122205   8         5         0.847761    -0.675164   -2.058983   
Wright State                  -1.123162   3         7         -1.008506   -0.804085   0.106629    
Tulane                        -1.140676   3         6         -0.712285   -0.267193   -0.716662   
Pepperdine                    -1.146948   5         8         -0.952731   -0.484002   0.285605    
Air Force                     -1.238763   7         2         0.154435    -0.029146   -2.388810   
Dixie State                   -1.238837   7         5         0.383346    -1.016485   1.080770    
Ball State                    -1.286691   4         6         -0.768529   -0.585434   0.219128    
La Salle                      -1.292694   5         5         -0.279354   -0.342298   -1.514384   
Kansas City                   -1.294528   5         5         -0.234018   -0.505228   -0.767798   
Eastern Michigan              -1.312954   5         5         -1.010671   -0.166525   1.221394    
Manhattan                     -1.353665   6         3         -0.046699   -0.269730   -1.253590   
Little Rock                   -1.355804   5         6         -0.329214   -1.143117   0.423672    
Kennesaw State                -1.363663   4         7         -0.008470   -0.861904   1.170258    
UIC                           -1.375244   3         7         -0.442660   -0.585873   0.715148    
Troy                          -1.440661   8         4         -0.046397   -0.554686   -1.325180   
Portland State                -1.464629   3         6         0.303461    -1.100930   -0.772911   
Dartmouth                     -1.470108   3         6         -0.828764   -0.564550   -0.159279   
Texas-Arlington               -1.472161   3         6         -0.920866   -0.644256   1.129349    
San Jose State                -1.473703   6         4         -0.429444   -0.009218   -0.271778   
Cal State Bakersfield         -1.502587   5         4         -0.602942   -0.961848   0.819976    
Sacred Heart                  -1.510818   4         7         -0.411954   -0.451023   -1.120636   
Long Beach State              -1.537221   3         7         -0.823882   -0.368796   1.305769    
Stetson                       -1.541712   4         6         -0.062785   -1.056030   0.050379    
Quinnipiac                    -1.558781   6         4         0.048387    -0.387778   -2.636820   
Saint Francis (PA)            -1.571369   4         6         -0.291114   -0.422148   -1.302169   
Loyola (MD)                   -1.608536   6         5         -0.451635   -0.736646   -1.511827   
Louisiana-Monroe              -1.663106   7         4         -0.528593   -0.701780   1.137020    
Samford                       -1.683709   9         2         -0.273112   -0.499372   -0.826604   
