Wofford,0.718573,16,11,0.519367,0.205137,-0.315289
Florida Gulf Coast,0.693358,18,9,1.128736,-0.028311,-0.931131
Butler,0.690335,13,13,-0.609095,0.674081,1.712533
Hofstra,0.666444,18,9,0.039002,0.600489,0.049355
Weber State,0.650893,18,8,0.741728,0.096162,-0.864279
Hawaii,0.637668,12,8,0.873958,-0.091635,-0.355805
Washington,0.632509,13,10,-0.595327,0.943974,1.163543
Louisville,0.607858,11,14,-0.593427,0.570794,1.303323
South Alabama,0.599645,17,8,0.830734,-0.010904,-0.515842
Oakland,0.586594,18,8,0.524364,0.357838,-0.542178
Missouri,0.562725,10,15,-0.698222,0.503628,1.795591
Monmouth,0.535254,16,9,0.140282,0.581855,-0.151199
Southern Utah,0.486685,16,8,0.77331,-0.167329,-0.937208
NC State,0.464541,11,16,-0.589179,0.507608,1.151388
Longwood,0.455193,19,6,1.405664,-0.310803,-1.409219
California,0.447144,11,15,-0.580751,0.660319,1.368148
Cornell,0.444439,13,8,0.662659,0.04104,-0.550281
Delaware,0.431362,17,9,0.450714,0.155806,-0.564462
Seattle,0.427713,20,6,0.568723,0.25816,-0.844021
Long Beach State,0.424083,14,9,0.44771,0.144306,0.401843
Stephen F. Austin,0.402602,17,8,0.587239,-0.2048,-0.132967
California Baptist,0.387895,14,12,1.105089,-0.588795,-0.453043
Rice,0.387077,14,10,0.580373,-0.111087,-0.161328
Jacksonville,0.366196,17,8,0.898545,-0.113487,-0.87846
Coastal Carolina,0.340101,13,11,1.019639,-0.673609,-0.355805
Middle Tennessee,0.30065,17,7,0.671661,-0.049426,-0.240334
Winthrop,0.272986,18,8,0.441378,-0.200394,-0.550281
Navy,0.205874,18,8,0.40306,0.031243,-1.145865
Texas State,0.205753,17,6,0.610412,-0.258399,-0.507739
UC-Riverside,0.181207,12,9,0.402952,-0.256138,-0.072193
Norfolk State,0.174147,17,5,0.928966,-0.152737,-1.783991
San Diego,0.165125,14,12,0.151553,0.087095,0.328915
St. Joseph's,0.162558,10,14,-0.052112,0.255602,0.519339
VMI,0.161063,15,11,0.318781,-0.070311,-0.361882
Yale,0.154609,14,9,-0.264549,0.201938,-0.30516
Tulane,0.154276,12,11,-0.731387,0.66609,0.849544
Gardner-Webb,0.141102,15,11,0.74754,-0.298127,-0.754886
Eastern Washington,0.138982,13,12,0.468808,-0.223291,-0.825789
UMass,0.132882,11,13,-0.216842,0.177742,0.39374
Portland,0.086153,14,12,0.60393,-0.167448,-0.153225
Arkansas State,0.085297,15,8,0.682222,-0.362079,-0.669803
Southern Illinois,0.043497,14,13,0.057198,0.013665,0.179006
Georgia Tech,0.036755,10,15,-0.794648,0.21759,1.137207
Drexel,0.03528,12,12,0.068834,0.003247,-0.28085
Cleveland State,0.018858,17,7,0.507581,-0.087575,-1.05673
Montana,-0.000871,17,9,0.556735,-0.15654,-1.176252
Wright State,-0.012126,15,12,0.322973,-0.315261,-1.139788
UNC Asheville,-0.014071,15,11,0.967744,-0.518545,-1.010137
Appalachian State,-0.059539,16,11,0.181599,-0.257881,-0.062064
Boston College,-0.091505,9,15,-0.654659,0.328534,0.894112
Northern Colorado,-0.12883,14,11,0.354247,-0.363902,-0.378088
Brown,-0.140229,12,13,0.117327,-0.166215,-0.355805
Troy,-0.14242,17,8,0.283025,-0.056201,-0.663726
Cal State Fullerton,-0.165731,14,8,0.286026,-0.102233,-0.453043
Bryant,-0.173792,15,9,0.168181,-0.025512,-1.247155
South Dakota,-0.176811,15,10,0.656626,-0.555078,-1.079014
Arizona State,-0.201577,8,15,-1.537677,0.709309,2.204802
Northern Kentucky,-0.247409,15,10,0.39423,-0.260006,-1.101298
